address;available;coordinates;free;name;number;open;ticket;total;type;updated_at
General Elio - Llano del Real;16;[726473.43, 4373086.657];9;83_PZA. DE LA LEGIÓN ESPAÑOLA;83;T;T;25;Point;29/06/2016 10:43
Serrería, 67;11;[729243.245, 4372024.795];4;84_SERRERIA_ESQ_PINTOR FERRER CALATAYUD;84;T;F;15;Point;29/06/2016 10:43
Blasco Ibañez - Jaime Roig;13;[726661.312, 4373300.906];10;085_AVDA_BLASCO IBAÑEZ 1;85;T;F;23;Point;29/06/2016 10:43
Gaspar Aguilar - Vicente Parra;20;[724461.496, 4370545.659];0;86_AVDA_GASPAR_AGUILAR_ESQ_VICENTE_PARRA;86;T;T;20;Point;29/06/2016 10:43
Blasco Ibañez - Doctor Gómez Ferrer (Clínico);30;[726908.261, 4373203.037];5;87_AVDA BLASCO IBAÑEZ 2;87;T;T;35;Point;29/06/2016 10:43
Blasco Ibañez, 28 (F. Geografía e Historia);20;[726975.018, 4373093.228];20;088_AVDA. BLASCO IBAÑEZ 3;88;T;T;40;Point;29/06/2016 10:43
Blasco Ibañez, 23 (F. Filosofía y Psicología);20;[727130.984, 4373130.018];9;89_AVDA. BLASCO IBAÑEZ;89;T;F;30;Point;29/06/2016 10:43
Blasco Ibañez, 32 (F. Filología);22;[727164.655, 4373012.352];18;90_AVDA. BLASCO IBAÑEZ;90;T;F;40;Point;29/06/2016 10:43
Grabador Jordan - Escultor Pastor;2;[726530.086, 4369370.981];13;091_CALLE_GRABADOR_JORDAN_46_PLAZA_ESCULTOR_PASTOR;91;T;F;15;Point;29/06/2016 10:43
Blasco Ibañez - Aragón;16;[727425.494, 4372922.905];4;092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ;92;T;T;20;Point;29/06/2016 10:43
Blasco Ibañez - Poeta Durán Tortajada;0;[728483.208, 4372556.514];38;93_AVADA_BLASCO_IBAÑEZ_DESP_C_POETA_DURAN_TORTAJAD;93;T;T;38;Point;29/06/2016 10:43
Blasco Ibañez - Clariano;2;[727804.295, 4372880.486];18;094_AVDA. BLASCO IBAÑEZ 5;94;T;F;20;Point;29/06/2016 10:43
Naranjos (Magisterio);17;[728259.769, 4373389.066];19;95_AVDA. DE LOS NARANJOS;95;T;F;36;Point;29/06/2016 10:43
Guillem de Castro (Beneficiencia);3;[725053.732, 4373114.715];24;001_GUILLEN_DE_CASTRO;1;T;T;27;Point;29/06/2016 10:43
Salvador Giner - C. Museo;1;[725366.769, 4373310.348];14;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;2;T;F;15;Point;29/06/2016 10:43
Plaza del Musico López Chavarri;2;[725330.179, 4372969.993];18;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;3;T;T;20;Point;29/06/2016 10:43
Colón 20-22;12;[725974.018, 4372028.422];13;018_COLON II;18;T;T;25;Point;29/06/2016 10:43
Angel Guimerá - Juan Llorens;1;[724659.071, 4372167.495];14;022_JUAN_LLORENS_57;22;T;F;15;Point;29/06/2016 10:43
Fernando el Católico - Erudito Orellana;0;[724840.264, 4372377.279];18;023_GRAN_VIA_FERNANDO_EL_CATOLICO;23;T;T;19;Point;29/06/2016 10:43
Fernando el Católico - Cuenca;3;[725033.543, 4372099.483];17;024_GRAN_VIA_RAMON_Y_CAJAL;24;T;T;20;Point;29/06/2016 10:43
Alberique, 18 (Abastos);2;[724643.583, 4371938.41];21;025_CALLE_DEL_ALBERIC;25;T;T;23;Point;29/06/2016 10:43
Naranjos - Ingeniero Fausto Elio;6;[729354.335, 4373086.32];14;109_AVDA. NARANJOS;109;T;T;20;Point;29/06/2016 10:43
UPV Trinquet;11;[729068.76, 4373513.496];19;110_KISSHOMARU;110;T;F;30;Point;29/06/2016 10:43
UPV Galileo;30;[728736.631, 4373445.463];0;111_COLEGIO MAYOR;111;T;F;30;Point;29/06/2016 10:43
Manuel Broseta i Pont - Naranjos;29;[728594.549, 4373259.508];11;112_AVDA. DE LOS NARANJOS;112;T;T;40;Point;29/06/2016 10:43
UPV Caminos;37;[728470.794, 4373555.383];1;113_ETS CAMINOS;113;T;T;38;Point;29/06/2016 10:43
UPV Informática;12;[728212.727, 4373606.436];18;114_ADOLFO SUAREZ;114;T;F;30;Point;29/06/2016 10:43
Cataluña - Doctor Vicente Zaragozá;15;[727735.506, 4373565.502];1;115_C/ DR. VICENTE ZARAGOZA;115;T;F;16;Point;29/06/2016 10:43
Doctor Vicente Zaragozá - Ramón Asensio;0;[727264.373, 4373739.532];14;116_C/ DR. VICENTE ZARAGOZA;116;T;T;15;Point;29/06/2016 10:43
Gascó Oliag - Primado Reig;19;[727320.076, 4373296.548];10;117_PRIMADO REIG;117;T;T;30;Point;29/06/2016 10:43
Gómez Ferrer - Álvaro de Bazán;17;[727027.861, 4373422.962];3;118_C/ DR. GOMEZ FERRER;118;T;F;20;Point;29/06/2016 10:43
Jaime Roig - Bachiller;18;[726779.466, 4373643.882];2;119_C/ JAIME ROIG;119;T;F;20;Point;29/06/2016 10:43
Doctor Vicente Zaragozá - Emilio Baró;2;[726873.293, 4373908.823];16;120_C_DR VICENTE ZARAGOZA;120;T;T;18;Point;29/06/2016 10:43
Platero Suárez - Milagrosa;6;[725892.434, 4373925.255];9;132_C/ RUAYA;132;T;F;15;Point;29/06/2016 10:43
Maximiliano Thous - Luz Casanova;5;[725892.931, 4374188.571];15;134_C/ MAXIMILIANO THOUS;134;T;F;20;Point;29/06/2016 10:43
Constitución - Reus;1;[725455.253, 4373958.731];19;135_AVDA. CONSTITUCIÓN;135;T;T;20;Point;29/06/2016 10:43
Economista Gay - Constitución;5;[725690.205, 4374436.518];15;136_CALLE_ECONOMISTA_GAY;136;T;F;20;Point;29/06/2016 10:43
Economista Gay - Luis Crumiere;4;[725324.503, 4374324.99];15;137_CALLE_ECONOMISTA_GAY;137;T;T;20;Point;29/06/2016 10:43
San Pancracio - Periodista Llorente;0;[724955.142, 4374220.596];20;138_SAN_PANCRACIO;138;T;F;20;Point;29/06/2016 10:43
Reus - Alquería de la Estrella;7;[725079.185, 4373948.236];7;139_C/ REUS;139;T;F;15;Point;29/06/2016 10:43
Av. Campanar (La Fe);11;[724386.193, 4373861.911];15;146_AVDA. CAMPANAR;146;T;T;26;Point;29/06/2016 10:43
